Order_ID,Customer_ID,Restaurant_Name,City,Cuisine_Type,Dish_Name,Order_Date,Order_Time,Order_Status,Delivery_Duration_Minutes,Payment_Method,Order_Value,Discount_Applied,Customer_Rating,Delivery_Partner_ID,Delivery_Partner_Rating,Cancellation_Reason,Is_First_Order,Restaurant_Rating,Tip_Amount
ORD00001,CUST5824,"Becker, Dorsey and Nunez",Bangalore,Chinese,Nature,18-09-2024,18:46:00,Delivered,87,Cash,665.6,Yes,3.1,DP249,3.2,,No,4.9,53.12
ORD00002,CUST8654,Kim-Hunter,Kolkata,Continental,Evidence,02-07-2024,18:01:41,Delivered,61,UPI,986.56,Yes,,DP369,,,Yes,4.8,99.47
ORD00003,CUST1015,Powell Inc,Delhi,Chinese,Among,21-05-2024,12:02:54,Cancelled,,Wallet,799.55,Yes,,DP569,,Restaurant Unavailable,Yes,3.3,0
ORD00004,CUST5784,West-Schneider,Kolkata,Thai,He,31-01-2025,02:59:17,Delivered,25,UPI,875.85,No,,DP295,2.3,,No,4.1,67.67
ORD00005,CUST5540,Patel LLC,Chennai,South Indian,Year,02-11-2024,22:32:50,Delivered,68,Cash,775.78,Yes,4.2,DP968,4.3,,No,4.5,35.3
ORD00006,CUST7944,Norman-Sims,Hyderabad,Italian,Hour,18-12-2024,02:37:27,Cancelled,,Card,179.97,No,,DP720,,Restaurant Unavailable,Yes,4.9,0
ORD00007,CUST4713,Lopez and Sons,Pune,Thai,Different,10-10-2024,07:31:44,Delivered,52,Wallet,223.87,Yes,,DP884,,,Yes,3.6,36.71
ORD00008,CUST3423,Goodwin LLC,Bangalore,Thai,Ability,10-09-2024,11:04:25,Delivered,82,Wallet,598.39,No,,DP327,1.5,,Yes,3,91.85
ORD00009,CUST1235,Thompson Group,Chennai,Continental,Resource,02-09-2024,11:45:43,Delivered,69,UPI,976.54,No,2.6,DP846,,,No,3.8,33.37
ORD00010,CUST8019,"Landry, Castillo and Myers",Bangalore,Italian,Eye,09-03-2025,06:45:04,Incomplete,,Card,761,No,,DP420,,Restaurant Unavailable,No,4.9,0
